id,symbol,strategy,start_date,end_date,win_rate,total_profit,max_drawdown,sharpe_ratio,trade_count,best_params,tested_at,results_json,PL_THE_GENERAL,Trades_THE_GENERAL,PL_SNIPER,Trades_SNIPER,PL_MOMENTUM,Trades_MOMENTUM,PL_BREAKOUT,Trades_BREAKOUT,PL_TREND_RIDER,Trades_TREND_RIDER,PL_PULLBACK_BUY,Trades_PULLBACK_BUY,PL_DONCHIAN_BREAKOUT,Trades_DONCHIAN_BREAKOUT,PL_ATR_BREAKOUT,Trades_ATR_BREAKOUT,PL_RSI2_REVERSAL,Trades_RSI2_REVERSAL,PL_Z_MEAN_REVERT,Trades_Z_MEAN_REVERT,PL_VWAP_REVERT,Trades_VWAP_REVERT,best_strategy,best_profit,timestamp
37,YFI/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-23.33,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
36,XTZ/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
35,XRP/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-466.79,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
34,XLE,,,,,,,,,,,,100.54,5,0.0,0,143.34,7,-306.53,20,74.47,4,74.47,4,59.59,3,74.47,4,74.47,4,74.47,4,102.06,5,MOMENTUM,143.34,2026-02-18 23:49:27
33,USDT/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-35.49,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
32,USDG/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
31,USDC/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,5.9,34,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,BREAKOUT,5.9,2026-02-18 23:49:27
30,UNI/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-27.88,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
29,UBER,,,,,,,,,,,,24.52,1,0.0,0,58.89,2,-372.57,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24.52,1,MOMENTUM,58.89,2026-02-18 23:49:27
28,TRUMP/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:27
27,TQQQ,,,,,,,,,,,,57.61,3,0.0,0,369.61,9,-468.8,12,23.72,1,23.72,1,23.72,1,23.72,1,23.72,1,23.72,1,57.61,3,MOMENTUM,369.61,2026-02-18 23:49:26
26,SUSHI/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:26
25,SQQQ,,,,,,,,,,,,205.53,3,0.0,0,428.09,6,-341.61,12,60.96,1,60.96,1,60.96,1,60.96,1,60.96,1,60.96,1,205.53,3,MOMENTUM,428.09,2026-02-18 23:49:26
24,SPXU,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-342.13,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:26
23,SOXS,,,,,,,,,,,,215.44,2,0.0,0,215.44,2,-793.34,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,215.44,2,THE_GENERAL,215.44,2026-02-18 23:49:26
22,SOXL,,,,,,,,,,,,33.03,1,0.0,0,517.66,7,-819.76,11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.03,1,MOMENTUM,517.66,2026-02-18 23:49:26
21,SOL/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-367.17,13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:26
20,SKY/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-66.32,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:26
19,SHIB/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:26
18,PLTR,,,,,,,,,,,,0.0,0,0.0,0,36.92,1,-605.22,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,MOMENTUM,36.92,2026-02-18 23:49:25
17,PEPE/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-353.82,11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:25
16,MARA,,,,,,,,,,,,118.51,3,0.0,0,354.73,6,-679.67,13,95.01,1,95.01,1,95.01,1,95.01,1,95.01,1,95.01,1,118.51,3,MOMENTUM,354.73,2026-02-18 23:49:25
15,LTC/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-225.09,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:25
14,LINK/USD,,,,,,,,,,,,0.0,0,0.0,0,22.98,1,-218.2,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,MOMENTUM,22.98,2026-02-18 23:49:25
13,HOOD,,,,,,,,,,,,0.0,0,0.0,0,119.01,3,-415.43,10,47.68,1,47.68,1,0.0,0,47.68,1,47.68,1,47.68,1,95.06,2,MOMENTUM,119.01,2026-02-18 23:49:25
12,GRT/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:25
11,ETH/USD,,,,,,,,,,,,0.0,0,0.0,0,21.81,1,-420.0,30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,MOMENTUM,21.81,2026-02-18 23:49:25
10,DOT/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-109.7,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:25
9,DOGE/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-60.88,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
8,CRV/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-21.29,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
7,COIN,,,,,,,,,,,,0.0,0,0.0,0,201.72,4,-384.07,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,MOMENTUM,201.72,2026-02-18 23:49:24
6,BTC/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
5,BCH/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-160.85,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
4,BAT/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-25.21,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
3,AVAX/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-76.65,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
2,AMD,,,,,,,,,,,,0.0,0,0.0,0,59.86,1,-375.76,11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,MOMENTUM,59.86,2026-02-18 23:49:24
1,AAVE/USD,,,,,,,,,,,,0.0,0,0.0,0,0.0,0,-67.93,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,THE_GENERAL,0.0,2026-02-18 23:49:24
